kmer	kmer_behaviour	flk_dist	fwdk_gen_count	revk_gen_count	fwdk_0gen_prop	revk_0gen_prop	fwdk_1gen_prop	revk_1gen_prop	fwdk_0gen_count	revk_0gen_count	fwdk_1gen_count	revk_1gen_count	fwdk_0gen_med	fwdk_0gen_sd	revk_0gen_med	revk_0gen_sd	fwdk_1gen_med	fwdk_1gen_sd	revk_1gen_med	revk_1gen_sd	fwdk_0gen_med_round	mycol_index
kmer10244	intact_k	2058, 3107	18	29	0.069	0.931	0.889	0.111	2	27	16	2	465825	741.047906683502	3589137	2270.42671353613	465822	658.786548638227	3587639.5	2204.05183695847	465800	1
kmer10285	intact_k	2065, 2064	18	29	0.069	0.931	0.889	0.111	2	27	16	2	522418	741.047906683502	3531665	2324.07798340212	522938	648.283062532615	3531046.5	2204.05183695847	522400	2
kmer10019	intact_k	2056	18	29	0.069	0.931	0.889	0.111	2	27	16	2	636288	1483.51002692938	3418150	2111.02718951505	637333	648.148590859637	3417176.5	1461.58971671259	636300	3
kmer10179	intact_k	2059, 2058, 2057	18	29	0.069	0.931	0.889	0.111	2	27	16	2	665664	1483.51002692938	3388774	2111.06256579362	666709	648.148590859637	3387800.5	1461.58971671259	665700	4
kmer10247	intact_k	2060	18	29	0.069	0.931	0.889	0.111	2	27	16	2	901809	1483.51002692938	3151658	1943.21855300153	902856.5	1045.20496993014	3151655.5	1461.58971671259	901800	5
kmer10043	intact_k	2063, 3112, 2062	18	29	0.069	0.931	0.889	0.111	2	27	16	2	912371	1483.51002692938	3141096	1943.21855300153	913418.5	1045.20496993014	3141093.5	1461.58971671259	912400	6
kmer10411	intact_k	4262, 5311, 4261	18	29	0.069	0.931	0.889	0.111	2	27	16	2	996819.5	1481.38870658582	3056654	1943.32767807888	997865	1146.69408881939	3056651.5	1461.58971671259	996800	7
kmer10070	intact_k	2071	18	29	0.069	0.931	0.889	0.111	2	27	16	2	1094432	1480.68159980463	2959042	2074.80736482682	1095477	1308.85496395386	2958515	719.834703247905	1094400	8
kmer10015	intact_k	15430, 15429, 16479	18	29	0.069	0.931	0.889	0.111	2	27	16	2	1110545	1480.68159980463	2942929	2074.80736482682	1111590	1308.85496395386	2942402	719.834703247905	1110500	9
kmer10094	intact_k	5316, 6365	18	29	0.069	0.931	0.889	0.111	2	27	16	2	1174771.5	1477.1460658987	2878704	1958.95465393723	1175814	1309.6628685149	2878176.5	720.541810029092	1174800	10
kmer10014	intact_k	2054, 3103	18	29	0.069	0.931	0.889	0.111	2	27	16	2	1215172.5	1477.1460658987	2838303	2003.4428252002	1216215	1425.12111765983	2837775.5	720.541810029092	1215200	11
kmer10092	intact_k	2067, 3116	18	29	0.069	0.931	0.889	0.111	2	27	16	2	1350771.5	1477.1460658987	2703691	1923.75143065615	1351814	1296.90076560751	2702701	21.2132034355964	1350800	12
kmer10033	intact_k	13380, 13379, 13376, 12331, 14429	18	29	0.069	0.931	0.889	0.111	2	27	16	2	1488600.5	1477.1460658987	2565862	1924.13137541529	1489642.5	1416.49503911356	2564872	21.2132034355964	1488600	13
kmer10214	intact_k	2056	18	29	0.069	0.931	0.889	0.111	2	27	16	2	2835782.5	3710.18928088581	1218197	1377.88796947004	2836832	2311.27848819652	1218208.5	17.6776695296637	2835800	14
kmer10287	intact_k	2063, 2062	18	29	0.069	0.931	0.889	0.111	2	27	16	2	2882536.5	3710.18928088581	1171443	1469.0126614261	2883586	2311.56615649073	1171979.5	724.784450716211	2882500	15
kmer10342	intact_k	10150, 10137	18	29	0.069	0.931	0.889	0.111	2	27	16	2	2946191.5	3710.18928088581	1107788	1469.00143516751	2947241	2311.70866099804	1108324.5	724.784450716211	2946200	16
